,Compound,Date,Negative,Neutral,Positive,Source Account,Text,Tweets Ago
120,0.296,Mon Jun 25 18:10:20 +0000 2018,0.905,0.0,0.095,@CBSNews,"In Florida, chickens don't cross the road, alligators do. This gator had two women helping it cross the road when i… https://t.co/L0jowoXltY",21
121,-0.34,Mon Jun 25 17:54:42 +0000 2018,0.882,0.118,0.0,@CBSNews,Gun industry leaders are seeking additional protection in Congress as they continue to find the cold shoulder throu… https://t.co/9aIF7i9HUH,22
122,-0.2263,Mon Jun 25 17:39:42 +0000 2018,0.775,0.225,0.0,@CBSNews,"Rattlesnakes could be lurking in your pool noodles, officials warn https://t.co/fkIToO1sk9 https://t.co/L8T5Hp0vEk",23
123,0.0516,Mon Jun 25 17:24:53 +0000 2018,0.776,0.108,0.116,@CBSNews,"""A teacher to the end"" makes final request for her own funeral, as a way to help students in need… https://t.co/z3obhrXcPF",24
124,0.0,Mon Jun 25 17:09:31 +0000 2018,1.0,0.0,0.0,@CBSNews,President Trump's steel tariff — essentially a 25 percent tax — may backfire on the very people the president is ai… https://t.co/oDNwnUbXpE,25
125,-0.7184,Mon Jun 25 16:54:38 +0000 2018,0.647,0.353,0.0,@CBSNews,Thousands evacuate as firefighters battle a raging wildfire tearing through rural California https://t.co/VLG14Z02j5 https://t.co/yGw6STVeTE,26
126,0.0,Mon Jun 25 16:36:41 +0000 2018,1.0,0.0,0.0,@CBSNews,"""Old Man"" from ""Pawn Stars"" dies at age 77 https://t.co/6Kf7oNCa58 https://t.co/54mzLfPgtI",27
127,-0.2617,Mon Jun 25 16:24:43 +0000 2018,0.742,0.148,0.109,@CBSNews,"""You were not involved but now you're stained with an original sins ... What kind of a religion is that? That's wha… https://t.co/dhAEwudxDW",28
128,0.0,Mon Jun 25 16:09:32 +0000 2018,1.0,0.0,0.0,@CBSNews,Harley-Davidson takes a hit with a 25 percent tariff hike levied on bikes exported from the U.S. to the EU… https://t.co/JZnRZx9vsk,29
129,0.5574,Mon Jun 25 15:51:23 +0000 2018,0.854,0.0,0.146,@CBSNews,"The Supreme Court has declined to weigh in on the case of Brendan Dassey, whose attorneys assert he is borderline i… https://t.co/G1HIVrEz4J",30
130,0.34,Mon Jun 25 15:14:42 +0000 2018,0.746,0.096,0.158,@CBSNews,The Supreme Court is passing— for now— on deciding if businesses can refuse to comply with anti-discrimination laws… https://t.co/dIEvtIztfm,31
131,-0.5106,Mon Jun 25 14:59:58 +0000 2018,0.809,0.191,0.0,@CBSNews,"Outcry after woman dubbed ""Permit Patty"" calls police on a black child selling water https://t.co/hUhkQiJB0Q https://t.co/G9Ryc1YqbZ",32
